#curie_map:
#  MESH: http://id.nlm.nih.gov/mesh/
#  CL: http://purl.obolibrary.org/obo/CL_
#  UBERON: http://purl.obolibrary.org/obo/UBERON_
#  GO: http://purl.obolibrary.org/obo/GO_
#  OBA: http://purl.obolibrary.org/obo/OBA_
#  skos: http://www.w3.org/2004/02/skos/core
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_provider: https://www.ebi.ac.uk
#mapping_set_group: obo_mesh_mappings
#mapping_set_id: obo_mesh
#mapping_set_title: 'OBO Ontology Mappings to MeSH'
#object_source: https://nlmpubs.nlm.nih.gov/projects/mesh/rdf/mesh.nt.gz
#subject_source: http://purl.obolibrary.org/obo/cl.owl
#subject_source: http://purl.obolibrary.org/obo/uberon.owl
#subject_source: http://purl.obolibrary.org/obo/go.owl
#subject_source: http://purl.obolibrary.org/obo/oba.owl
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source	object_source	confidence	mapping_date	author_id	object_uri
CL:0000503	theca cell	skos:exactMatch	M0021274	Theca Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0021274
CL:0000509	gastrin secreting cell	skos:exactMatch	M0029490	Gastrin-Secreting Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0029490
CL:0000510	paneth cell	skos:exactMatch	M0029518	Paneth Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0029518
CL:0000516	perineuronal satellite cell	skos:exactMatch	M0015271	Satellite Cells, Perineuronal	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0015271
CL:0000526	afferent neuron	skos:exactMatch	M0014737	Neurons, Afferent	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0014737
CL:0000528	nitrergic neuron	skos:exactMatch	M0378494	Nitrergic Neurons	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0378494
CL:0000540	neuron	skos:exactMatch	M0014736	Neurons	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0014736
CL:0000542	lymphocyte	skos:exactMatch	M0012806	Lymphocytes	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0012806
CL:0000553	megakaryocyte progenitor cell	skos:exactMatch	M0512634	Megakaryocyte Progenitor Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0512634
CL:0000557	granulocyte monocyte progenitor cell	skos:exactMatch	M0512588	Granulocyte-Macrophage Progenitor Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0512588
CL:0000558	reticulocyte	skos:exactMatch	M0018934	Reticulocytes	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0018934
CL:0000573	retinal cone cell	skos:exactMatch	M0027110	Retinal Cone Photoreceptor Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0027110
CL:0000576	monocyte	skos:exactMatch	M0014033	Monocytes	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0014033
CL:0000577	type EC enteroendocrine cell	skos:exactMatch	M0007477	Enterochromaffin Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0007477
CL:0000581	peritoneal macrophage	skos:exactMatch	M0026804	Macrophages, Peritoneal	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0026804
CL:0000583	alveolar macrophage	skos:exactMatch	M0025409	Macrophages, Alveolar	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0025409
CL:0000584	enterocyte	skos:exactMatch	M0328442	Enterocytes	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0328442
CL:0000586	germ cell	skos:exactMatch	M0009199	Germ Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0009199
CL:0000589	cochlear inner hair cell	skos:exactMatch	M0009748	Hair Cells, Auditory, Inner	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0009748
CL:0000598	pyramidal neuron	skos:exactMatch	M0027134	Pyramidal Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0027134
CL:0000601	cochlear outer hair cell	skos:exactMatch	M0027263	Hair Cells, Auditory, Outer	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0027263
CL:0000604	retinal rod cell	skos:exactMatch	M0027109	Retinal Rod Photoreceptor Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0027109
CL:0000609	vestibular hair cell	skos:exactMatch	M0027259	Hair Cells, Vestibular	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0027259
CL:0000650	mesangial cell	skos:exactMatch	M0475996	Mesangial Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0475996
CL:0000653	podocyte	skos:exactMatch	M0473246	Podocytes	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0473246
CL:0000669	pericyte	skos:exactMatch	M0029935	Pericytes	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0029935
CL:0000683	ependymoglial cell	skos:exactMatch	M0578089	Ependymoglial Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0578089
CL:0000700	dopaminergic neuron	skos:exactMatch	M0549236	Dopaminergic Neurons	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0549236
CL:0000711	cumulus cell	skos:exactMatch	M0508604	Cumulus Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0508604
CL:0000738	leukocyte	skos:exactMatch	M0012411	Leukocytes	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0012411
